"Column Name","Data Type","Nullable","Default","Primary Key"
"PROJECT_ID","NUMBER(5,0)","No","","1"
"PROJECT_NAME","VARCHAR2(50)","Yes","",""
"PROJECT_TYPE","VARCHAR2(50)","Yes","",""
"START_DATE","VARCHAR2(15)","Yes","",""
"END_DATE","VARCHAR2(15)","Yes","",""
"PROJECT_COST","NUMBER(7,0)","Yes","",""
"VISA_REQUIRED","VARCHAR2(3)","Yes","",""
"SPECIAL_REQUIREMENT","VARCHAR2(50)","Yes","",""
"CRB_CHECK_REQUIRED","VARCHAR2(3)","Yes","",""
"CRB_CHECK_COMPLETED","VARCHAR2(15)","Yes","",""
"DRIVING_INSURANCE_COVERED","VARCHAR2(15)","Yes","",""
"GOVERNMENT_FUNDED","VARCHAR2(15)","Yes","",""
"CRIMINAL_SENTANCE","VARCHAR2(50)","Yes","",""
"EXTERNAL_SPONSOR","VARCHAR2(15)","Yes","",""
"PRIVATE_SPONSOR","VARCHAR2(15)","Yes","",""
"CONSERVATION_CLASS","VARCHAR2(3)","Yes","",""
"IMPACT_ANALYSIS_REQUIRED","VARCHAR2(3)","Yes","",""
"PROJECT_LOCATION_ID","NUMBER(5,0)","Yes","",""
