"Column Name","Data Type","Nullable","Default","Primary Key"
"VOLUNTEER_ID","VARCHAR2(10)","No","","1"
"TITLE","VARCHAR2(5)","Yes","",""
"NAME","VARCHAR2(30)","Yes","",""
"UNIVERSITYREFNO","VARCHAR2(10)","Yes","",""
"ADDRESS_LINE_1","VARCHAR2(12)","Yes","",""
"POSTCODE","VARCHAR2(12)","Yes","",""
"MOBILE_NUMBER","VARCHAR2(12)","Yes","",""
"HOME_NUMBER","VARCHAR2(12)","Yes","",""
"EMAIL","VARCHAR2(30)","Yes","",""
"ETHNIC_GROUP","VARCHAR2(10)","Yes","",""
"VOLUNTEER_TYPE","VARCHAR2(10)","Yes","",""
"REGISTER_DISABLE","VARCHAR2(3)","Yes","",""
"GENDER","VARCHAR2(1)","Yes","",""
"MEDICAL_DETAILS","VARCHAR2(20)","Yes","",""
"PASSPORT_NUMBER","NUMBER(10,0)","Yes","",""
"NATIONALITY","VARCHAR2(10)","Yes","",""
"PASSPORT_EXPIRY_DATE","NUMBER(10,0)","Yes","",""
"DATE_OF_BIRTH","VARCHAR2(10)","Yes","",""
"COURSE_NAME","VARCHAR2(20)","Yes","",""
"COURSE_YEAR","VARCHAR2(10)","Yes","",""
"AREA_OF_WORK","VARCHAR2(15)","Yes","",""
"STAFF_MANAGER_NAME","VARCHAR2(20)","Yes","",""
"STAFF_MANAGER_EMAIL","VARCHAR2(20)","Yes","",""
"STAFF_MANAGER_PHONE","VARCHAR2(12)","Yes","",""
"TEAM_LEADER","VARCHAR2(10)","Yes","",""
